,countries,variable_type,Region,seried_id,date,records
Date.15710,Other South-East Asia,Country,Asia,A85375643X,3/1/2020,1090
Date.15711,Other South-East Asia,Country,Asia,A85375643X,4/1/2020,10
Date.15712,Other South-East Asia,Country,Asia,A85375643X,5/1/2020,20
Date.15713,Other South-East Asia,Country,Asia,A85375643X,6/1/2020,0
Date.15714,Other South-East Asia,Country,Asia,A85375643X,7/1/2020,30
Date.15715,Other South-East Asia,Country,Asia,A85375643X,8/1/2020,30
Date.15716,Other South-East Asia,Country,Asia,A85375643X,9/1/2020,10
Date.15717,Other South-East Asia,Country,Asia,A85375643X,10/1/2020,10
Date.15718,Other South-East Asia,Country,Asia,A85375643X,11/1/2020,30
Date.15719,Other South-East Asia,Country,Asia,A85375643X,12/1/2020,150
Date.15720,Other South-East Asia,Country,Asia,A85375643X,1/1/2021,20
Date.15721,Other South-East Asia,Country,Asia,A85375643X,2/1/2021,40
Date.15722,Other South-East Asia,Country,Asia,A85375643X,3/1/2021,40
Date.15723,Other South-East Asia,Country,Asia,A85375643X,4/1/2021,30
Date.15724,Other South-East Asia,Country,Asia,A85375643X,5/1/2021,60
Date.15725,Other South-East Asia,Country,Asia,A85375643X,6/1/2021,40
Date.15726,Other South-East Asia,Country,Asia,A85375643X,7/1/2021,30
Date.15727,Other South-East Asia,Country,Asia,A85375643X,8/1/2021,20
Date.15728,Other South-East Asia,Country,Asia,A85375643X,9/1/2021,30
Date.15729,Other South-East Asia,Country,Asia,A85375643X,10/1/2021,30
Date.15730,Other South-East Asia,Country,Asia,A85375643X,11/1/2021,90
Date.15731,Other South-East Asia,Country,Asia,A85375643X,12/1/2021,140
Date.15732,Other South-East Asia,Country,Asia,A85375643X,1/1/2022,170
Date.15733,Other South-East Asia,Country,Asia,A85375643X,2/1/2022,350
Date.15734,Other South-East Asia,Country,Asia,A85375643X,3/1/2022,450
Date.15735,Other South-East Asia,Country,Asia,A85375643X,4/1/2022,780
Date.15736,Other South-East Asia,Country,Asia,A85375643X,5/1/2022,850
Date.15737,Other South-East Asia,Country,Asia,A85375643X,6/1/2022,1030
Date.15738,Other South-East Asia,Country,Asia,A85375643X,7/1/2022,1210
Date.15739,Other South-East Asia,Country,Asia,A85375643X,8/1/2022,1410
Date.15740,Other South-East Asia,Country,Asia,A85375643X,9/1/2022,1440
Date.15741,Other South-East Asia,Country,Asia,A85375643X,10/1/2022,1560
Date.15742,Other South-East Asia,Country,Asia,A85375643X,11/1/2022,1710
Date.15743,Other South-East Asia,Country,Asia,A85375643X,12/1/2022,1970
Date.16128,China,Country,Asia,A85375770R,1/1/1991,1260
Date.16129,China,Country,Asia,A85375770R,2/1/1991,1160
Date.16130,China,Country,Asia,A85375770R,3/1/1991,1430
Date.16131,China,Country,Asia,A85375770R,4/1/1991,1120
Date.16132,China,Country,Asia,A85375770R,5/1/1991,990
Date.16133,China,Country,Asia,A85375770R,6/1/1991,1290
Date.16134,China,Country,Asia,A85375770R,7/1/1991,1170
Date.16135,China,Country,Asia,A85375770R,8/1/1991,1580
Date.16136,China,Country,Asia,A85375770R,9/1/1991,1360
Date.16137,China,Country,Asia,A85375770R,10/1/1991,1200
Date.16138,China,Country,Asia,A85375770R,11/1/1991,1940
Date.16139,China,Country,Asia,A85375770R,12/1/1991,1920
Date.16140,China,Country,Asia,A85375770R,1/1/1992,1180
Date.16141,China,Country,Asia,A85375770R,2/1/1992,2100
Date.16142,China,Country,Asia,A85375770R,3/1/1992,1580
Date.16143,China,Country,Asia,A85375770R,4/1/1992,1320
Date.16144,China,Country,Asia,A85375770R,5/1/1992,1500
Date.16145,China,Country,Asia,A85375770R,6/1/1992,1310
Date.16146,China,Country,Asia,A85375770R,7/1/1992,1300
Date.16147,China,Country,Asia,A85375770R,8/1/1992,1260
Date.16148,China,Country,Asia,A85375770R,9/1/1992,1780
Date.16149,China,Country,Asia,A85375770R,10/1/1992,1520
Date.16150,China,Country,Asia,A85375770R,11/1/1992,1960
Date.16151,China,Country,Asia,A85375770R,12/1/1992,1870
Date.16152,China,Country,Asia,A85375770R,1/1/1993,1360
Date.16153,China,Country,Asia,A85375770R,2/1/1993,1740
Date.16154,China,Country,Asia,A85375770R,3/1/1993,1580
Date.16155,China,Country,Asia,A85375770R,4/1/1993,1720
Date.16156,China,Country,Asia,A85375770R,5/1/1993,1710
Date.16157,China,Country,Asia,A85375770R,6/1/1993,1710
Date.16158,China,Country,Asia,A85375770R,7/1/1993,1870
Date.16159,China,Country,Asia,A85375770R,8/1/1993,2230
Date.16160,China,Country,Asia,A85375770R,9/1/1993,1510
Date.16161,China,Country,Asia,A85375770R,10/1/1993,2200
Date.16162,China,Country,Asia,A85375770R,11/1/1993,2700
Date.16163,China,Country,Asia,A85375770R,12/1/1993,1940
Date.16164,China,Country,Asia,A85375770R,1/1/1994,1660
Date.16165,China,Country,Asia,A85375770R,2/1/1994,1980
Date.16166,China,Country,Asia,A85375770R,3/1/1994,2060
Date.16167,China,Country,Asia,A85375770R,4/1/1994,2130
Date.16168,China,Country,Asia,A85375770R,5/1/1994,2630
Date.16169,China,Country,Asia,A85375770R,6/1/1994,2110
Date.16170,China,Country,Asia,A85375770R,7/1/1994,2590
Date.16171,China,Country,Asia,A85375770R,8/1/1994,2230
Date.16172,China,Country,Asia,A85375770R,9/1/1994,2260
Date.16173,China,Country,Asia,A85375770R,10/1/1994,3450
Date.16174,China,Country,Asia,A85375770R,11/1/1994,3240
Date.16175,China,Country,Asia,A85375770R,12/1/1994,3350
Date.16176,China,Country,Asia,A85375770R,1/1/1995,2660
Date.16177,China,Country,Asia,A85375770R,2/1/1995,2850
Date.16178,China,Country,Asia,A85375770R,3/1/1995,2960
Date.16179,China,Country,Asia,A85375770R,4/1/1995,3220
Date.16180,China,Country,Asia,A85375770R,5/1/1995,2850
Date.16181,China,Country,Asia,A85375770R,6/1/1995,2920
Date.16182,China,Country,Asia,A85375770R,7/1/1995,3520
Date.16183,China,Country,Asia,A85375770R,8/1/1995,3450
Date.16184,China,Country,Asia,A85375770R,9/1/1995,3250
Date.16185,China,Country,Asia,A85375770R,10/1/1995,4250
Date.16186,China,Country,Asia,A85375770R,11/1/1995,5360
Date.16187,China,Country,Asia,A85375770R,12/1/1995,5310
Date.16188,China,Country,Asia,A85375770R,1/1/1996,3610
Date.16189,China,Country,Asia,A85375770R,2/1/1996,3930
Date.16190,China,Country,Asia,A85375770R,3/1/1996,4260
Date.16191,China,Country,Asia,A85375770R,4/1/1996,4180
Date.16192,China,Country,Asia,A85375770R,5/1/1996,4420
Date.16193,China,Country,Asia,A85375770R,6/1/1996,4190
Date.16194,China,Country,Asia,A85375770R,7/1/1996,4460
Date.16195,China,Country,Asia,A85375770R,8/1/1996,4000
Date.16196,China,Country,Asia,A85375770R,9/1/1996,4400
Date.16197,China,Country,Asia,A85375770R,10/1/1996,4940
Date.16198,China,Country,Asia,A85375770R,11/1/1996,6450
Date.16199,China,Country,Asia,A85375770R,12/1/1996,5140
Date.16200,China,Country,Asia,A85375770R,1/1/1997,4850
Date.16201,China,Country,Asia,A85375770R,2/1/1997,4910
Date.16202,China,Country,Asia,A85375770R,3/1/1997,5380
Date.16203,China,Country,Asia,A85375770R,4/1/1997,5340
Date.16204,China,Country,Asia,A85375770R,5/1/1997,5910
Date.16205,China,Country,Asia,A85375770R,6/1/1997,4640
Date.16206,China,Country,Asia,A85375770R,7/1/1997,4590
Date.16207,China,Country,Asia,A85375770R,8/1/1997,5160
Date.16208,China,Country,Asia,A85375770R,9/1/1997,4880
Date.16209,China,Country,Asia,A85375770R,10/1/1997,6230
Date.16210,China,Country,Asia,A85375770R,11/1/1997,7150
Date.16211,China,Country,Asia,A85375770R,12/1/1997,6810
Date.16212,China,Country,Asia,A85375770R,1/1/1998,6710
Date.16213,China,Country,Asia,A85375770R,2/1/1998,6440
Date.16214,China,Country,Asia,A85375770R,3/1/1998,6510
Date.16215,China,Country,Asia,A85375770R,4/1/1998,5550
Date.16216,China,Country,Asia,A85375770R,5/1/1998,6460
Date.16217,China,Country,Asia,A85375770R,6/1/1998,5480
Date.16218,China,Country,Asia,A85375770R,7/1/1998,7950
Date.16219,China,Country,Asia,A85375770R,8/1/1998,6340
Date.16220,China,Country,Asia,A85375770R,9/1/1998,5250
Date.16221,China,Country,Asia,A85375770R,10/1/1998,6460
Date.16222,China,Country,Asia,A85375770R,11/1/1998,6420
Date.16223,China,Country,Asia,A85375770R,12/1/1998,6990
Date.16224,China,Country,Asia,A85375770R,1/1/1999,6700
Date.16225,China,Country,Asia,A85375770R,2/1/1999,9660
Date.16226,China,Country,Asia,A85375770R,3/1/1999,6400
Date.16227,China,Country,Asia,A85375770R,4/1/1999,6160
Date.16228,China,Country,Asia,A85375770R,5/1/1999,7110
Date.16229,China,Country,Asia,A85375770R,6/1/1999,6130
Date.16230,China,Country,Asia,A85375770R,7/1/1999,8700
Date.16231,China,Country,Asia,A85375770R,8/1/1999,7180
Date.16232,China,Country,Asia,A85375770R,9/1/1999,6930
Date.16233,China,Country,Asia,A85375770R,10/1/1999,9500
Date.16234,China,Country,Asia,A85375770R,11/1/1999,8990
Date.16235,China,Country,Asia,A85375770R,12/1/1999,9130
Date.16236,China,Country,Asia,A85375770R,1/1/2000,8860
Date.16237,China,Country,Asia,A85375770R,2/1/2000,13970
Date.16238,China,Country,Asia,A85375770R,3/1/2000,7330
Date.16239,China,Country,Asia,A85375770R,4/1/2000,7880
Date.16240,China,Country,Asia,A85375770R,5/1/2000,8960
Date.16241,China,Country,Asia,A85375770R,6/1/2000,7590
Date.16242,China,Country,Asia,A85375770R,7/1/2000,12470
Date.16243,China,Country,Asia,A85375770R,8/1/2000,9920
Date.16244,China,Country,Asia,A85375770R,9/1/2000,7830
Date.16245,China,Country,Asia,A85375770R,10/1/2000,9950
Date.16246,China,Country,Asia,A85375770R,11/1/2000,10930
Date.16247,China,Country,Asia,A85375770R,12/1/2000,14570
Date.16248,China,Country,Asia,A85375770R,1/1/2001,21470
Date.16249,China,Country,Asia,A85375770R,2/1/2001,13420
Date.16250,China,Country,Asia,A85375770R,3/1/2001,10390
Date.16251,China,Country,Asia,A85375770R,4/1/2001,12660
Date.16252,China,Country,Asia,A85375770R,5/1/2001,11320
Date.16253,China,Country,Asia,A85375770R,6/1/2001,8530
Date.16254,China,Country,Asia,A85375770R,7/1/2001,15990
Date.16255,China,Country,Asia,A85375770R,8/1/2001,13440
Date.16256,China,Country,Asia,A85375770R,9/1/2001,11480
Date.16257,China,Country,Asia,A85375770R,10/1/2001,13080
Date.16258,China,Country,Asia,A85375770R,11/1/2001,12260
Date.16259,China,Country,Asia,A85375770R,12/1/2001,13900
Date.16260,China,Country,Asia,A85375770R,1/1/2002,15400
Date.16261,China,Country,Asia,A85375770R,2/1/2002,26200
Date.16262,China,Country,Asia,A85375770R,3/1/2002,12280
Date.16263,China,Country,Asia,A85375770R,4/1/2002,15080
Date.16264,China,Country,Asia,A85375770R,5/1/2002,12630
Date.16265,China,Country,Asia,A85375770R,6/1/2002,10530
Date.16266,China,Country,Asia,A85375770R,7/1/2002,19390
Date.16267,China,Country,Asia,A85375770R,8/1/2002,14980
Date.16268,China,Country,Asia,A85375770R,9/1/2002,12880
Date.16269,China,Country,Asia,A85375770R,10/1/2002,14720
Date.16270,China,Country,Asia,A85375770R,11/1/2002,17770
Date.16271,China,Country,Asia,A85375770R,12/1/2002,18160
Date.16272,China,Country,Asia,A85375770R,1/1/2003,20840
Date.16273,China,Country,Asia,A85375770R,2/1/2003,27030
Date.16274,China,Country,Asia,A85375770R,3/1/2003,14260
Date.16275,China,Country,Asia,A85375770R,4/1/2003,9480
Date.16276,China,Country,Asia,A85375770R,5/1/2003,3100
Date.16277,China,Country,Asia,A85375770R,6/1/2003,4520
Date.16278,China,Country,Asia,A85375770R,7/1/2003,11340
Date.16279,China,Country,Asia,A85375770R,8/1/2003,12130
Date.16280,China,Country,Asia,A85375770R,9/1/2003,14970
Date.16281,China,Country,Asia,A85375770R,10/1/2003,16670
Date.16282,China,Country,Asia,A85375770R,11/1/2003,19760
Date.16283,China,Country,Asia,A85375770R,12/1/2003,22040
Date.16284,China,Country,Asia,A85375770R,1/1/2004,31210
Date.16285,China,Country,Asia,A85375770R,2/1/2004,23390
Date.16286,China,Country,Asia,A85375770R,3/1/2004,17540
Date.16287,China,Country,Asia,A85375770R,4/1/2004,17690
Date.16288,China,Country,Asia,A85375770R,5/1/2004,16220
Date.16289,China,Country,Asia,A85375770R,6/1/2004,13930
Date.16290,China,Country,Asia,A85375770R,7/1/2004,26040
Date.16291,China,Country,Asia,A85375770R,8/1/2004,17410
Date.16292,China,Country,Asia,A85375770R,9/1/2004,16370
Date.16293,China,Country,Asia,A85375770R,10/1/2004,21390
Date.16294,China,Country,Asia,A85375770R,11/1/2004,24150
Date.16295,China,Country,Asia,A85375770R,12/1/2004,24870
Date.16296,China,Country,Asia,A85375770R,1/1/2005,37780
Date.16297,China,Country,Asia,A85375770R,2/1/2005,38480
Date.16298,China,Country,Asia,A85375770R,3/1/2005,17170
Date.16299,China,Country,Asia,A85375770R,4/1/2005,18720
Date.16300,China,Country,Asia,A85375770R,5/1/2005,15640
Date.16301,China,Country,Asia,A85375770R,6/1/2005,14120
Date.16302,China,Country,Asia,A85375770R,7/1/2005,28560
Date.16303,China,Country,Asia,A85375770R,8/1/2005,20620
Date.16304,China,Country,Asia,A85375770R,9/1/2005,17120
Date.16305,China,Country,Asia,A85375770R,10/1/2005,19310
Date.16306,China,Country,Asia,A85375770R,11/1/2005,29060
Date.16307,China,Country,Asia,A85375770R,12/1/2005,26150
Date.16308,China,Country,Asia,A85375770R,1/1/2006,32210
Date.16309,China,Country,Asia,A85375770R,2/1/2006,35040
Date.16310,China,Country,Asia,A85375770R,3/1/2006,21350
Date.16311,China,Country,Asia,A85375770R,4/1/2006,24180
Date.16312,China,Country,Asia,A85375770R,5/1/2006,19810
Date.16313,China,Country,Asia,A85375770R,6/1/2006,16730
Date.16314,China,Country,Asia,A85375770R,7/1/2006,31740
Date.16315,China,Country,Asia,A85375770R,8/1/2006,22980
Date.16316,China,Country,Asia,A85375770R,9/1/2006,21440
Date.16317,China,Country,Asia,A85375770R,10/1/2006,23470
Date.16318,China,Country,Asia,A85375770R,11/1/2006,29420
Date.16319,China,Country,Asia,A85375770R,12/1/2006,27200
Date.16320,China,Country,Asia,A85375770R,1/1/2007,28110
Date.16321,China,Country,Asia,A85375770R,2/1/2007,53620
Date.16322,China,Country,Asia,A85375770R,3/1/2007,31630
Date.16323,China,Country,Asia,A85375770R,4/1/2007,26560
Date.16324,China,Country,Asia,A85375770R,5/1/2007,19590
Date.16325,China,Country,Asia,A85375770R,6/1/2007,19190
Date.16326,China,Country,Asia,A85375770R,7/1/2007,32930
Date.16327,China,Country,Asia,A85375770R,8/1/2007,29090
Date.16328,China,Country,Asia,A85375770R,9/1/2007,23360
Date.16329,China,Country,Asia,A85375770R,10/1/2007,25410
Date.16330,China,Country,Asia,A85375770R,11/1/2007,34760
Date.16331,China,Country,Asia,A85375770R,12/1/2007,30360
Date.16332,China,Country,Asia,A85375770R,1/1/2008,35390
Date.16333,China,Country,Asia,A85375770R,2/1/2008,55920
Date.16334,China,Country,Asia,A85375770R,3/1/2008,29640
Date.16335,China,Country,Asia,A85375770R,4/1/2008,35330
Date.16336,China,Country,Asia,A85375770R,5/1/2008,23030
Date.16337,China,Country,Asia,A85375770R,6/1/2008,17980
Date.16338,China,Country,Asia,A85375770R,7/1/2008,34370
Date.16339,China,Country,Asia,A85375770R,8/1/2008,21830
Date.16340,China,Country,Asia,A85375770R,9/1/2008,19290
Date.16341,China,Country,Asia,A85375770R,10/1/2008,21130
Date.16342,China,Country,Asia,A85375770R,11/1/2008,28890
Date.16343,China,Country,Asia,A85375770R,12/1/2008,31560
Date.16344,China,Country,Asia,A85375770R,1/1/2009,54160
Date.16345,China,Country,Asia,A85375770R,2/1/2009,46470
Date.16346,China,Country,Asia,A85375770R,3/1/2009,33940
Date.16347,China,Country,Asia,A85375770R,4/1/2009,30720
Date.16348,China,Country,Asia,A85375770R,5/1/2009,18700
Date.16349,China,Country,Asia,A85375770R,6/1/2009,14110
Date.16350,China,Country,Asia,A85375770R,7/1/2009,30190
Date.16351,China,Country,Asia,A85375770R,8/1/2009,23020
Date.16352,China,Country,Asia,A85375770R,9/1/2009,22630
Date.16353,China,Country,Asia,A85375770R,10/1/2009,26750
Date.16354,China,Country,Asia,A85375770R,11/1/2009,31210
Date.16355,China,Country,Asia,A85375770R,12/1/2009,30790
Date.16356,China,Country,Asia,A85375770R,1/1/2010,36830
Date.16357,China,Country,Asia,A85375770R,2/1/2010,72940
Date.16358,China,Country,Asia,A85375770R,3/1/2010,35130
Date.16359,China,Country,Asia,A85375770R,4/1/2010,32220
Date.16360,China,Country,Asia,A85375770R,5/1/2010,25910
Date.16361,China,Country,Asia,A85375770R,6/1/2010,22820
Date.16362,China,Country,Asia,A85375770R,7/1/2010,47700
Date.16363,China,Country,Asia,A85375770R,8/1/2010,36790
Date.16364,China,Country,Asia,A85375770R,9/1/2010,29080
Date.16365,China,Country,Asia,A85375770R,10/1/2010,28790
Date.16366,China,Country,Asia,A85375770R,11/1/2010,42210
Date.16367,China,Country,Asia,A85375770R,12/1/2010,41390
Date.16368,China,Country,Asia,A85375770R,1/1/2011,59880
Date.16369,China,Country,Asia,A85375770R,2/1/2011,77980
Date.16370,China,Country,Asia,A85375770R,3/1/2011,41330
Date.16371,China,Country,Asia,A85375770R,4/1/2011,35080
Date.16372,China,Country,Asia,A85375770R,5/1/2011,30210
Date.16373,China,Country,Asia,A85375770R,6/1/2011,27930
Date.16374,China,Country,Asia,A85375770R,7/1/2011,53940
Date.16375,China,Country,Asia,A85375770R,8/1/2011,44350
Date.16376,China,Country,Asia,A85375770R,9/1/2011,34110
Date.16377,China,Country,Asia,A85375770R,10/1/2011,37720
Date.16378,China,Country,Asia,A85375770R,11/1/2011,50480
Date.16379,China,Country,Asia,A85375770R,12/1/2011,47530
Date.16380,China,Country,Asia,A85375770R,1/1/2012,77400
Date.16381,China,Country,Asia,A85375770R,2/1/2012,67650
Date.16382,China,Country,Asia,A85375770R,3/1/2012,54400
Date.16383,China,Country,Asia,A85375770R,4/1/2012,47360
Date.16384,China,Country,Asia,A85375770R,5/1/2012,35040
Date.16385,China,Country,Asia,A85375770R,6/1/2012,33830
Date.16386,China,Country,Asia,A85375770R,7/1/2012,60780
Date.16387,China,Country,Asia,A85375770R,8/1/2012,51980
Date.16388,China,Country,Asia,A85375770R,9/1/2012,43610
Date.16389,China,Country,Asia,A85375770R,10/1/2012,44860
Date.16390,China,Country,Asia,A85375770R,11/1/2012,57170
Date.16391,China,Country,Asia,A85375770R,12/1/2012,54020
Date.16392,China,Country,Asia,A85375770R,1/1/2013,58320
Date.16393,China,Country,Asia,A85375770R,2/1/2013,112060
Date.16394,China,Country,Asia,A85375770R,3/1/2013,63110
Date.16395,China,Country,Asia,A85375770R,4/1/2013,58900
Date.16396,China,Country,Asia,A85375770R,5/1/2013,45400
Date.16397,China,Country,Asia,A85375770R,6/1/2013,39420
Date.16398,China,Country,Asia,A85375770R,7/1/2013,73130
Date.16399,China,Country,Asia,A85375770R,8/1/2013,61540
Date.16400,China,Country,Asia,A85375770R,9/1/2013,58340
Date.16401,China,Country,Asia,A85375770R,10/1/2013,43010
Date.16402,China,Country,Asia,A85375770R,11/1/2013,51970
Date.16403,China,Country,Asia,A85375770R,12/1/2013,55560
Date.16404,China,Country,Asia,A85375770R,1/1/2014,97720
Date.16405,China,Country,Asia,A85375770R,2/1/2014,105950
Date.16406,China,Country,Asia,A85375770R,3/1/2014,70130
Date.16407,China,Country,Asia,A85375770R,4/1/2014,61120
Date.16408,China,Country,Asia,A85375770R,5/1/2014,49080
Date.16409,China,Country,Asia,A85375770R,6/1/2014,46180
Date.16410,China,Country,Asia,A85375770R,7/1/2014,83430
Date.16411,China,Country,Asia,A85375770R,8/1/2014,73870
Date.16412,China,Country,Asia,A85375770R,9/1/2014,62330
Date.16413,China,Country,Asia,A85375770R,10/1/2014,59110
Date.16414,China,Country,Asia,A85375770R,11/1/2014,70590
Date.16415,China,Country,Asia,A85375770R,12/1/2014,71520
Date.16416,China,Country,Asia,A85375770R,1/1/2015,74160
Date.16417,China,Country,Asia,A85375770R,2/1/2015,165510
Date.16418,China,Country,Asia,A85375770R,3/1/2015,83780
Date.16419,China,Country,Asia,A85375770R,4/1/2015,73360
Date.16420,China,Country,Asia,A85375770R,5/1/2015,62710
Date.16421,China,Country,Asia,A85375770R,6/1/2015,55590
Date.16422,China,Country,Asia,A85375770R,7/1/2015,95300
Date.16423,China,Country,Asia,A85375770R,8/1/2015,85940
Date.16424,China,Country,Asia,A85375770R,9/1/2015,77030
Date.16425,China,Country,Asia,A85375770R,10/1/2015,76530
Date.16426,China,Country,Asia,A85375770R,11/1/2015,87900
Date.16427,China,Country,Asia,A85375770R,12/1/2015,94090
Date.16428,China,Country,Asia,A85375770R,1/1/2016,115290
Date.16429,China,Country,Asia,A85375770R,2/1/2016,175010
Date.16430,China,Country,Asia,A85375770R,3/1/2016,102650
Date.16431,China,Country,Asia,A85375770R,4/1/2016,97900
Date.16432,China,Country,Asia,A85375770R,5/1/2016,71990
Date.16433,China,Country,Asia,A85375770R,6/1/2016,66050
Date.16434,China,Country,Asia,A85375770R,7/1/2016,119790
Date.16435,China,Country,Asia,A85375770R,8/1/2016,94370
Date.16436,China,Country,Asia,A85375770R,9/1/2016,82390
Date.16437,China,Country,Asia,A85375770R,10/1/2016,86290
Date.16438,China,Country,Asia,A85375770R,11/1/2016,97090
Date.16439,China,Country,Asia,A85375770R,12/1/2016,99420
Date.16440,China,Country,Asia,A85375770R,1/1/2017,166870
Date.16441,China,Country,Asia,A85375770R,2/1/2017,143430
Date.16442,China,Country,Asia,A85375770R,3/1/2017,111130
Date.16443,China,Country,Asia,A85375770R,4/1/2017,101810
Date.16444,China,Country,Asia,A85375770R,5/1/2017,80110
Date.16445,China,Country,Asia,A85375770R,6/1/2017,76370
Date.16446,China,Country,Asia,A85375770R,7/1/2017,149830
Date.16447,China,Country,Asia,A85375770R,8/1/2017,116380
Date.16448,China,Country,Asia,A85375770R,9/1/2017,97690
Date.16449,China,Country,Asia,A85375770R,10/1/2017,100400
Date.16450,China,Country,Asia,A85375770R,11/1/2017,101350
Date.16451,China,Country,Asia,A85375770R,12/1/2017,111540
Date.16452,China,Country,Asia,A85375770R,1/1/2018,118310
Date.16453,China,Country,Asia,A85375770R,2/1/2018,227410
Date.16454,China,Country,Asia,A85375770R,3/1/2018,122490
Date.16455,China,Country,Asia,A85375770R,4/1/2018,109260
Date.16456,China,Country,Asia,A85375770R,5/1/2018,89540
Date.16457,China,Country,Asia,A85375770R,6/1/2018,77360
Date.16458,China,Country,Asia,A85375770R,7/1/2018,153500
Date.16459,China,Country,Asia,A85375770R,8/1/2018,117060
Date.16460,China,Country,Asia,A85375770R,9/1/2018,97640
Date.16461,China,Country,Asia,A85375770R,10/1/2018,101320
Date.16462,China,Country,Asia,A85375770R,11/1/2018,102910
Date.16463,China,Country,Asia,A85375770R,12/1/2018,115340
Date.16464,China,Country,Asia,A85375770R,1/1/2019,142850
Date.16465,China,Country,Asia,A85375770R,2/1/2019,206280
Date.16466,China,Country,Asia,A85375770R,3/1/2019,124370
Date.16467,China,Country,Asia,A85375770R,4/1/2019,96240
Date.16468,China,Country,Asia,A85375770R,5/1/2019,94690
Date.16469,China,Country,Asia,A85375770R,6/1/2019,80680
Date.16470,China,Country,Asia,A85375770R,7/1/2019,150390
Date.16471,China,Country,Asia,A85375770R,8/1/2019,128280
Date.16472,China,Country,Asia,A85375770R,9/1/2019,98990
Date.16473,China,Country,Asia,A85375770R,10/1/2019,102710
Date.16474,China,Country,Asia,A85375770R,11/1/2019,101390
Date.16475,China,Country,Asia,A85375770R,12/1/2019,111800
Date.16476,China,Country,Asia,A85375770R,1/1/2020,156610
Date.16477,China,Country,Asia,A85375770R,2/1/2020,21330
Date.16478,China,Country,Asia,A85375770R,3/1/2020,27940
Date.16479,China,Country,Asia,A85375770R,4/1/2020,50
Date.16480,China,Country,Asia,A85375770R,5/1/2020,90
Date.16481,China,Country,Asia,A85375770R,6/1/2020,180
Date.16482,China,Country,Asia,A85375770R,7/1/2020,130
Date.16483,China,Country,Asia,A85375770R,8/1/2020,160
Date.16484,China,Country,Asia,A85375770R,9/1/2020,200
Date.16485,China,Country,Asia,A85375770R,10/1/2020,340
Date.16486,China,Country,Asia,A85375770R,11/1/2020,340
Date.16487,China,Country,Asia,A85375770R,12/1/2020,320
Date.16488,China,Country,Asia,A85375770R,1/1/2021,380
Date.16489,China,Country,Asia,A85375770R,2/1/2021,250
Date.16490,China,Country,Asia,A85375770R,3/1/2021,260
Date.16491,China,Country,Asia,A85375770R,4/1/2021,310
Date.16492,China,Country,Asia,A85375770R,5/1/2021,360
Date.16493,China,Country,Asia,A85375770R,6/1/2021,360
Date.16494,China,Country,Asia,A85375770R,7/1/2021,250
Date.16495,China,Country,Asia,A85375770R,8/1/2021,270
Date.16496,China,Country,Asia,A85375770R,9/1/2021,140
Date.16497,China,Country,Asia,A85375770R,10/1/2021,160
Date.16498,China,Country,Asia,A85375770R,11/1/2021,1030
Date.16499,China,Country,Asia,A85375770R,12/1/2021,2780
Date.16500,China,Country,Asia,A85375770R,1/1/2022,3740
Date.16501,China,Country,Asia,A85375770R,2/1/2022,7720
Date.16502,China,Country,Asia,A85375770R,3/1/2022,5130
Date.16503,China,Country,Asia,A85375770R,4/1/2022,3550
Date.16504,China,Country,Asia,A85375770R,5/1/2022,4250
Date.16505,China,Country,Asia,A85375770R,6/1/2022,6550
Date.16506,China,Country,Asia,A85375770R,7/1/2022,12390
Date.16507,China,Country,Asia,A85375770R,8/1/2022,8390
Date.16508,China,Country,Asia,A85375770R,9/1/2022,7480
Date.16509,China,Country,Asia,A85375770R,10/1/2022,7070
Date.16510,China,Country,Asia,A85375770R,11/1/2022,9100
Date.16511,China,Country,Asia,A85375770R,12/1/2022,13880
Date.16512,Hong Kong,Country,Asia,A85375769F,1/1/1991,4400
Date.16513,Hong Kong,Country,Asia,A85375769F,2/1/1991,9630
Date.16514,Hong Kong,Country,Asia,A85375769F,3/1/1991,5780
Date.16515,Hong Kong,Country,Asia,A85375769F,4/1/1991,3300
Date.16516,Hong Kong,Country,Asia,A85375769F,5/1/1991,3210
Date.16517,Hong Kong,Country,Asia,A85375769F,6/1/1991,3960
Date.16518,Hong Kong,Country,Asia,A85375769F,7/1/1991,7720
Date.16519,Hong Kong,Country,Asia,A85375769F,8/1/1991,6000
Date.16520,Hong Kong,Country,Asia,A85375769F,9/1/1991,3680
Date.16521,Hong Kong,Country,Asia,A85375769F,10/1/1991,3850
Date.16522,Hong Kong,Country,Asia,A85375769F,11/1/1991,4270
Date.16523,Hong Kong,Country,Asia,A85375769F,12/1/1991,6980
Date.16524,Hong Kong,Country,Asia,A85375769F,1/1/1992,6340
Date.16525,Hong Kong,Country,Asia,A85375769F,2/1/1992,12020
Date.16526,Hong Kong,Country,Asia,A85375769F,3/1/1992,4090
Date.16527,Hong Kong,Country,Asia,A85375769F,4/1/1992,6380
Date.16528,Hong Kong,Country,Asia,A85375769F,5/1/1992,3870
Date.16529,Hong Kong,Country,Asia,A85375769F,6/1/1992,5080
Date.16530,Hong Kong,Country,Asia,A85375769F,7/1/1992,9350
Date.16531,Hong Kong,Country,Asia,A85375769F,8/1/1992,5650
Date.16532,Hong Kong,Country,Asia,A85375769F,9/1/1992,3910
Date.16533,Hong Kong,Country,Asia,A85375769F,10/1/1992,4150
Date.16534,Hong Kong,Country,Asia,A85375769F,11/1/1992,5070
