,countries,variable_type,Region,seried_id,date,records
Date.130,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2001,63180
Date.131,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2001,69470
Date.132,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2002,48060
Date.133,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2002,44830
Date.134,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2002,67000
Date.135,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2002,60870
Date.136,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2002,60280
Date.137,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2002,70070
Date.138,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2002,70090
Date.139,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2002,75020
Date.140,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2002,80890
Date.141,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2002,78760
Date.142,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2002,66110
Date.143,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2002,68100
Date.144,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2003,47030
Date.145,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2003,45460
Date.146,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2003,58190
Date.147,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2003,68540
Date.148,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2003,67030
Date.149,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2003,67850
Date.150,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2003,82910
Date.151,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2003,72970
Date.152,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2003,85920
Date.153,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2003,83040
Date.154,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2003,77660
Date.155,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2003,82490
Date.156,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2004,53610
Date.157,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2004,59000
Date.158,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2004,76250
Date.159,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2004,88300
Date.160,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2004,74580
Date.161,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2004,89370
Date.162,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2004,107240
Date.163,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2004,96420
Date.164,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2004,107690
Date.165,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2004,97630
Date.166,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2004,82680
Date.167,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2004,96690
Date.168,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2005,62410
Date.169,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2005,63220
Date.170,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2005,90260
Date.171,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2005,96890
Date.172,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2005,82210
Date.173,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2005,89290
Date.174,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2005,113170
Date.175,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2005,100270
Date.176,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2005,109880
Date.177,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2005,102840
Date.178,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2005,80290
Date.179,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2005,97290
Date.180,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2006,68690
Date.181,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2006,59950
Date.182,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2006,80810
Date.183,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2006,93780
Date.184,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2006,81190
Date.185,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2006,92590
Date.186,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2006,101130
Date.187,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2006,90570
Date.188,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2006,113740
Date.189,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2006,95900
Date.190,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2006,87370
Date.191,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2006,99490
Date.192,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2007,70930
Date.193,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2007,63240
Date.194,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2007,81990
Date.195,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2007,97090
Date.196,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2007,94890
Date.197,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2007,106990
Date.198,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2007,103480
Date.199,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2007,100500
Date.200,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2007,113960
Date.201,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2007,103760
Date.202,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2007,95250
Date.203,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2007,96860
Date.204,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2008,65120
Date.205,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2008,71160
Date.206,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2008,82220
Date.207,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2008,92380
Date.208,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2008,97460
Date.209,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2008,91560
Date.210,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2008,106880
Date.211,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2008,93250
Date.212,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2008,103840
Date.213,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2008,111570
Date.214,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2008,89530
Date.215,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2008,99710
Date.216,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2009,71110
Date.217,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2009,65140
Date.218,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2009,80640
Date.219,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2009,98200
Date.220,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2009,90600
Date.221,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2009,86160
Date.222,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2009,103480
Date.223,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2009,98450
Date.224,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2009,106980
Date.225,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2009,110700
Date.226,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2009,90130
Date.227,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2009,98320
Date.228,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2010,67980
Date.229,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2010,69080
Date.230,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2010,86440
Date.231,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2010,97400
Date.232,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2010,85720
Date.233,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2010,96400
Date.234,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2010,114220
Date.235,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2010,98670
Date.236,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2010,116500
Date.237,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2010,113400
Date.238,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2010,94830
Date.239,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2010,109570
Date.240,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2011,72870
Date.241,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2011,70640
Date.242,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2011,92050
Date.243,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2011,103440
Date.244,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2011,95110
Date.245,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2011,94220
Date.246,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2011,113310
Date.247,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2011,105900
Date.248,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2011,92420
Date.249,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2011,115320
Date.250,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2011,100030
Date.251,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2011,111520
Date.252,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2012,73440
Date.253,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2012,77510
Date.254,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2012,94890
Date.255,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2012,104680
Date.256,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2012,93110
Date.257,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2012,101940
Date.258,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2012,107880
Date.259,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2012,103100
Date.260,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2012,107560
Date.261,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2012,119740
Date.262,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2012,99140
Date.263,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2012,110130
Date.264,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2013,79970
